id,name,phone,latitude,longitude,ward,constituency,town,verified
1,Farmland Agrovet,0722345678,-0.6542,36.5744,Engineer,Kinangop,Engineer,Yes
2,Smart Agrovet,0711000999,-0.6545,36.5750,Engineer,Kinangop,Engineer,Yes
3,Avanna Agrovet,0728444888,-0.6530,36.5735,Engineer,Kinangop,Engineer,Yes
4,Mchungaji Agrovet,0721444555,-0.6540,36.5760,Engineer,Kinangop,Engineer,Yes
5,Kinangop Dairy Ltd,0711791548,-0.6535,36.5720,Engineer,Kinangop,Engineer,Yes
6,Afya Agrovet,0720444555,-0.6550,36.5770,Engineer,Kinangop,Engineer,Yes
7,Engineers Choice Agro,0720000001,-0.6540,36.5740,Engineer,Kinangop,Engineer,Yes
8,Kinangop Farm Best,0720000002,-0.6550,36.5760,Engineer,Kinangop,Engineer,Yes
9,Nehema Feeds,0701352326,-0.6800,36.6200,Gathara,Kinangop,Gathara,Yes
10,Tulaga Agrovet,0701352327,-0.6920,36.6150,Gathara,Kinangop,Tulaga,Yes
11,Peak Farm Inputs,0701352328,-0.6790,36.6250,Gathara,Kinangop,Gathara,Yes
12,Gathara Farmers,0701352329,-0.6815,36.6220,Gathara,Kinangop,Gathara,Yes
13,High Yield Gathara,0701352330,-0.6810,36.6210,Gathara,Kinangop,Gathara,Yes
14,Sasumua Gate Vet,0701352331,-0.6850,36.6300,Gathara,Kinangop,Gathara,Yes
15,Gathara Super Feed,0720000003,-0.6810,36.6210,Gathara,Kinangop,Gathara,Yes
16,South Kinangop Vet,0720000004,-0.6840,36.6260,Gathara,Kinangop,Gathara,Yes
17,Rena Agrovet,0722111222,-0.6050,36.6120,North Kinangop,Kinangop,Ndunyu Njeru,Yes
18,Kelamon Agrovet,0722000111,-0.6055,36.6130,North Kinangop,Kinangop,Ndunyu Njeru,Yes
19,Mifugo Agrovet,0722111223,-0.6060,36.6110,North Kinangop,Kinangop,Ndunyu Njeru,Yes
20,J.N. Agrovet Centre,0722111224,-0.6045,36.6100,North Kinangop,Kinangop,Ndunyu Njeru,Yes
21,Ndunyu Farmers,0722111225,-0.6052,36.6125,North Kinangop,Kinangop,Ndunyu Njeru,Yes
22,Rabbit Urine North,0722111226,-0.6070,36.6150,North Kinangop,Kinangop,Ndunyu Njeru,Yes
23,North Kinangop Pride,0722111227,-0.6040,36.6110,North Kinangop,Kinangop,Ndunyu Njeru,Yes
24,Aberdare Farm Links,0722111228,-0.6080,36.6160,North Kinangop,Kinangop,Ndunyu Njeru,Yes
25,Wayside Agrovet,0725888999,-0.5100,36.5200,Murungaru,Kinangop,Murungaru,Yes
26,Plateau Farm Care,0725888900,-0.5105,36.5225,Murungaru,Kinangop,Murungaru,Yes
27,Murungaru Stores,0725888901,-0.5115,36.5212,Murungaru,Kinangop,Murungaru,Yes
28,Wakulima Agrovet,0725888902,-0.5090,36.5180,Murungaru,Kinangop,Murungaru,Yes
29,Murungaru Dairy,0725888903,-0.5120,36.5230,Murungaru,Kinangop,Murungaru,Yes
30,Village Vet,0725888904,-0.5085,36.5170,Murungaru,Kinangop,Murungaru,Yes
31,Murungaru Agro Point,0725888905,-0.5110,36.5200,Murungaru,Kinangop,Murungaru,Yes
32,Top Crop Murungaru,0725888906,-0.5130,36.5220,Murungaru,Kinangop,Murungaru,Yes
33,Lukenya Agrovet,0712001141,-0.7167,36.6667,Njabini,Kinangop,Njabini,Yes
34,Karwagi Agrovet,0712001142,-0.7175,36.6680,Njabini,Kinangop,Njabini,Yes
35,Mwanjenga Stores,0712001143,-0.7180,36.6655,Njabini,Kinangop,Njabini,Yes
36,Chania Farm Input,0712001144,-0.7160,36.6650,Njabini,Kinangop,Njabini,Yes
37,Mkulima Agrovet,0712001145,-0.7170,36.6675,Njabini,Kinangop,Njabini,Yes
38,Njabini Vet Clinic,0712001146,-0.7165,36.6660,Njabini,Kinangop,Njabini,Yes
39,Njabini Agro Supplies,0712001147,-0.7170,36.6660,Njabini,Kinangop,Njabini,Yes
40,Kinangop Highland Vet,0712001148,-0.7180,36.6680,Njabini,Kinangop,Njabini,Yes
41,Haraka Agrovet,0726123456,-0.7800,36.5900,Nyakio,Kinangop,Kwa Haraka,Yes
42,Unity Agro-inputs,0726123457,-0.7810,36.5910,Nyakio,Kinangop,Kwa Haraka,Yes
43,Nyakio Farmers Choice,0726123458,-0.7750,36.5850,Nyakio,Kinangop,Nyakio,Yes
44,Malewa Inputs,0726123459,-0.7720,36.5820,Nyakio,Kinangop,Nyakio,Yes
45,Haraka Dairy Vet,0726123460,-0.7820,36.5920,Nyakio,Kinangop,Kwa Haraka,Yes
46,Githioro-Nyakio Vet,0726123461,-0.7780,36.5880,Nyakio,Kinangop,Nyakio,Yes
47,Nyakio Best Agro,0726123462,-0.7790,36.5890,Nyakio,Kinangop,Nyakio,Yes
48,Haraka Farm Care,0726123463,-0.7830,36.5930,Nyakio,Kinangop,Kwa Haraka,Yes
49,Joyland Agrovet,0727111000,-0.7400,36.5800,Githabai,Kinangop,Karangatha,Yes
50,Skyline Farmers,0727111001,-0.7450,36.5900,Githabai,Kinangop,Karangatha,Yes
51,Githabai Agrostore,0727111002,-0.7380,36.5780,Githabai,Kinangop,Githabai,Yes
52,Mwenda-adu Vet,0727111003,-0.7410,36.5820,Githabai,Kinangop,Githabai,Yes
53,Karangatha Vet,0727111004,-0.7460,36.5920,Githabai,Kinangop,Karangatha,Yes
54,Choice Farm,0727111005,-0.7430,36.5880,Githabai,Kinangop,Karangatha,Yes
55,Githabai Quality Inputs,0727111006,-0.7420,36.5810,Githabai,Kinangop,Githabai,Yes
56,Karangatha Agro King,0727111007,-0.7440,36.5910,Githabai,Kinangop,Karangatha,Yes
57,Prime Agrovet,0728999000,-0.8000,36.6000,Magumu,Kinangop,Magumu,Yes
58,Highway Farmers,0728999001,-0.8015,36.6024,Magumu,Kinangop,Magumu,Yes
59,Magumu Vet Services,0728999002,-0.8050,36.6050,Magumu,Kinangop,Magumu,Yes
60,Junction Farm Feed,0728999003,-0.7980,36.5980,Magumu,Kinangop,Magumu,Yes
61,Kinungi Border Agro,0728999004,-0.8100,36.6100,Magumu,Kinangop,Magumu,Yes
62,Shamba Safi Magumu,0728999005,-0.8020,36.6010,Magumu,Kinangop,Magumu,Yes
63,Magumu Highway Vet,0728999006,-0.8030,36.6020,Magumu,Kinangop,Magumu,Yes
64,South Gate Agro,0728999007,-0.8040,36.6040,Magumu,Kinangop,Magumu,Yes
65,Wanjohi Agrovet,0729111222,-0.4500,36.4600,Wanjohi,Kipipiri,Wanjohi,Yes
66,High Yield Inputs,0729111223,-0.4480,36.4580,Wanjohi,Kipipiri,Wanjohi,Yes
67,Gichungo Agrovet,0729111224,-0.4550,36.4655,Wanjohi,Kipipiri,Wanjohi,Yes
68,Wanjohi Farmers,0729111225,-0.4510,36.4610,Wanjohi,Kipipiri,Wanjohi,Yes
69,Malewa Wanjohi Vet,0729111226,-0.4490,36.4590,Wanjohi,Kipipiri,Wanjohi,Yes
70,Sunrise Wanjohi,0729111227,-0.4530,36.4630,Wanjohi,Kipipiri,Wanjohi,Yes
71,Wanjohi Valley Agro,0729111228,-0.4520,36.4620,Wanjohi,Kipipiri,Wanjohi,Yes
72,Kipipiri Peaks Agro,0729111229,-0.4540,36.4640,Wanjohi,Kipipiri,Wanjohi,Yes
73,Baraka Agrovet,0721123456,-0.4167,36.4500,Kipipiri,Kipipiri,Miharati,Yes
74,Miharati Vet,0721123457,-0.4175,36.4525,Kipipiri,Kipipiri,Miharati,Yes
75,Kipipiri Farm Care,0721123458,-0.4150,36.4480,Kipipiri,Kipipiri,Miharati,Yes
76,Miharati Shamba,0721123459,-0.4180,36.4555,Kipipiri,Kipipiri,Miharati,Yes
77,Junction Miharati,0721123460,-0.4140,36.4470,Kipipiri,Kipipiri,Miharati,Yes
78,Central Kipipiri Vet,0721123461,-0.4160,36.4490,Kipipiri,Kipipiri,Miharati,Yes
79,Miharati Farmers Hub,0721123462,-0.4170,36.4540,Kipipiri,Kipipiri,Miharati,Yes
80,Kipipiri Best Yield,0721123463,-0.4190,36.4560,Kipipiri,Kipipiri,Miharati,Yes
81,Geta Agro-Inputs,0722111333,-0.4800,36.5300,Geta,Kipipiri,Geta,Yes
82,Aberdare Farmers,0722111334,-0.4820,36.5320,Geta,Kipipiri,Geta,Yes
83,Mountain Vet,0722111335,-0.4780,36.5280,Geta,Kipipiri,Geta,Yes
84,Geta Forest Agro,0722111336,-0.4850,36.5350,Geta,Kipipiri,Geta,Yes
85,Geta Plateau Vet,0722111337,-0.4795,36.5295,Geta,Kipipiri,Geta,Yes
86,Kifaru Geta Agro,0722111338,-0.4810,36.5310,Geta,Kipipiri,Geta,Yes
87,Geta Forest Vet,0722111339,-0.4810,36.5330,Geta,Kipipiri,Geta,Yes
88,Highland Geta Agro,0722111340,-0.4830,36.5340,Geta,Kipipiri,Geta,Yes
89,Githioro Agrovet,0723444555,-0.4300,36.4200,Githioro,Kipipiri,Githioro,Yes
90,Malewa River Vet,0723444556,-0.4320,36.4220,Githioro,Kipipiri,Githioro,Yes
91,Githioro Inputs,0723444557,-0.4280,36.4180,Githioro,Kipipiri,Githioro,Yes
92,Kipipiri Githioro,0723444558,-0.4350,36.4250,Githioro,Kipipiri,Githioro,Yes
93,Shamba Choice,0723444559,-0.4290,36.4190,Githioro,Kipipiri,Githioro,Yes
94,Green Valley Gith.,0723444560,-0.4310,36.4210,Githioro,Kipipiri,Githioro,Yes
95,Githioro Farm Care,0723444561,-0.4310,36.4230,Githioro,Kipipiri,Githioro,Yes
96,Malewa Gate Agro,0723444562,-0.4330,36.4260,Githioro,Kipipiri,Githioro,Yes
97,G Eight Agrovet,0724888000,-0.2704,36.3792,Karau,Ol Kalou,Ol Kalou,Yes
98,M-Gicho Agrovet,0724888001,-0.2715,36.3805,Karau,Ol Kalou,Ol Kalou,Yes
99,Central Rift Vet,0724888002,-0.2730,36.3820,Karau,Ol Kalou,Ol Kalou,Yes
100,Umoja Agrovet,0724888003,-0.2710,36.3780,Karau,Ol Kalou,Ol Kalou,Yes
101,Olake Agrovet,0722396164,-0.2708,36.3795,Karau,Ol Kalou,Ol Kalou,Yes
102,Equator Agrovet,0724871462,-0.2720,36.3810,Karau,Ol Kalou,Ol Kalou,Yes
103,Ol Kalou Super Agro,0724888004,-0.2720,36.3800,Karau,Ol Kalou,Ol Kalou,Yes
104,Karau Farmers Link,0724888005,-0.2740,36.3830,Karau,Ol Kalou,Ol Kalou,Yes
105,Kanjuiri Agrovet,0725111000,-0.3200,36.4000,Kanjuiri,Ol Kalou,Kanjuiri,Yes
106,Range Farm Inputs,0725111001,-0.3220,36.4020,Kanjuiri,Ol Kalou,Kanjuiri,Yes
107,Highland Vet,0725111002,-0.3180,36.3980,Kanjuiri,Ol Kalou,Kanjuiri,Yes
108,Kanjuiri Dairy Vet,0725111003,-0.3250,36.4050,Kanjuiri,Ol Kalou,Kanjuiri,Yes
109,Hillside Agrovet,0725111004,-0.3190,36.3995,Kanjuiri,Ol Kalou,Kanjuiri,Yes
110,Kanjuiri Farmers,0725111005,-0.3210,36.4010,Kanjuiri,Ol Kalou,Kanjuiri,Yes
111,Kanjuiri Best Inputs,0725111006,-0.3210,36.4010,Kanjuiri,Ol Kalou,Kanjuiri,Yes
112,Range Highland Vet,0725111007,-0.3230,36.4030,Kanjuiri,Ol Kalou,Kanjuiri,Yes
113,Mirangine Agrovet,0726444111,-0.1667,36.2667,Mirangine,Ol Kalou,Mirangine,Yes
114,Uhuru Farmers,0726444112,-0.1680,36.2680,Mirangine,Ol Kalou,Mirangine,Yes
115,Mirangine Vet Care,0726444113,-0.1650,36.2650,Mirangine,Ol Kalou,Mirangine,Yes
116,Junction Agrovet,0726444114,-0.1700,36.2700,Mirangine,Ol Kalou,Mirangine,Yes
117,Mirangine Shamba,0726444115,-0.1675,36.2675,Mirangine,Ol Kalou,Mirangine,Yes
118,Central Mirangine,0726444116,-0.1690,36.2690,Mirangine,Ol Kalou,Mirangine,Yes
119,Mirangine Top Yield,0726444117,-0.1680,36.2680,Mirangine,Ol Kalou,Mirangine,Yes
120,Ol Kalou Border Agro,0726444118,-0.1710,36.2720,Mirangine,Ol Kalou,Mirangine,Yes
121,Kaimbaga Agrovet,0727888222,-0.2400,36.3800,Kaimbaga,Ol Kalou,Kaimbaga,Yes
122,Dairy Pride Vet,0727888223,-0.2420,36.3820,Kaimbaga,Ol Kalou,Kaimbaga,Yes
123,Potato Seed Center,0727888224,-0.2380,36.3780,Kaimbaga,Ol Kalou,Kaimbaga,Yes
124,Kaimbaga Farmers,0727888225,-0.2450,36.3850,Kaimbaga,Ol Kalou,Kaimbaga,Yes
125,Milestone Kaimbaga,0727888226,-0.2410,36.3810,Kaimbaga,Ol Kalou,Kaimbaga,Yes
126,Aberdare Kaimbaga,0727888227,-0.2430,36.3830,Kaimbaga,Ol Kalou,Kaimbaga,Yes
127,Kaimbaga Pride Agro,0727888228,-0.2440,36.3840,Kaimbaga,Ol Kalou,Kaimbaga,Yes
128,Aberdare Seed Center,0727888229,-0.2460,36.3860,Kaimbaga,Ol Kalou,Kaimbaga,Yes
129,Rurii Agrovet,0728111999,-0.3000,36.3500,Rurii,Ol Kalou,Rurii,Yes
130,Sunset Agrovet,0728111998,-0.3020,36.3520,Rurii,Ol Kalou,Rurii,Yes
131,Rurii Vet Clinic,0728111997,-0.2980,36.3480,Rurii,Ol Kalou,Rurii,Yes
132,Best Yield Agrovet,0728111996,-0.3050,36.3550,Rurii,Ol Kalou,Rurii,Yes
133,Rurii Farm Inputs,0728111995,-0.3010,36.3510,Rurii,Ol Kalou,Rurii,Yes
134,Valley Vet Rurii,0728111994,-0.3030,36.3530,Rurii,Ol Kalou,Rurii,Yes
135,Rurii Highland Inputs,0728111993,-0.3010,36.3520,Rurii,Ol Kalou,Rurii,Yes
136,Sunset Valley Vet,0728111992,-0.3040,36.3540,Rurii,Ol Kalou,Rurii,Yes
137,ATC Ol Joro Orok,0729333000,-0.1020,36.3020,Gathanji,Ol Jorok,Ol Joro Orok,Yes
138,Gathanji Agrovet,0729333001,-0.1000,36.3100,Gathanji,Ol Jorok,Gathanji,Yes
139,Gathanji Feed Lot,0729333002,-0.0980,36.2980,Gathanji,Ol Jorok,Gathanji,Yes
140,North Rift Inputs,0729333003,-0.1050,36.3050,Gathanji,Ol Jorok,Gathanji,Yes
141,Shangi Seed Vet,0729333004,-0.1010,36.3010,Gathanji,Ol Jorok,Gathanji,Yes
142,Ol Jorok Central,0729333005,-0.1030,36.3030,Gathanji,Ol Jorok,Gathanji,Yes
143,Ol Joro Orok Pride,0729333006,-0.1040,36.3040,Gathanji,Ol Jorok,Ol Joro Orok,Yes
144,Gathanji Farm Best,0729333007,-0.1060,36.3060,Gathanji,Ol Jorok,Gathanji,Yes
145,Gatima Agrovet,0730111222,-0.1200,36.3500,Gatima,Ol Jorok,Gatima,Yes
146,Gatima Dairy Care,0730111223,-0.1180,36.3480,Gatima,Ol Jorok,Gatima,Yes
147,Equator Gatima,0730111224,-0.1220,36.3520,Gatima,Ol Jorok,Gatima,Yes
148,Gatima Farm Tech,0730111225,-0.1250,36.3550,Gatima,Ol Jorok,Gatima,Yes
149,Plateau Gatima Vet,0730111226,-0.1190,36.3490,Gatima,Ol Jorok,Gatima,Yes
150,Milestone Gatima,0730111227,-0.1210,36.3510,Gatima,Ol Jorok,Gatima,Yes
151,Gatima Top Agro,0730111228,-0.1230,36.3530,Gatima,Ol Jorok,Gatima,Yes
152,Equator Farm Care,0730111229,-0.1240,36.3540,Gatima,Ol Jorok,Gatima,Yes
153,Mavuno Agrovet,0731111555,-0.1500,36.3333,Weru,Ol Jorok,Weru,Yes
154,Planet Agrovet,0731111556,-0.1480,36.3310,Weru,Ol Jorok,Weru,Yes
155,Weru Vet Services,0731111557,-0.1550,36.3380,Weru,Ol Jorok,Weru,Yes
156,Weru Agro-Supplies,0731111558,-0.1520,36.3350,Weru,Ol Jorok,Weru,Yes
157,Harvest Weru Agro,0731111559,-0.1510,36.3340,Weru,Ol Jorok,Weru,Yes
158,Green Weru Vet,0731111560,-0.1530,36.3360,Weru,Ol Jorok,Weru,Yes
159,Weru Farmers Choice,0731111561,-0.1510,36.3350,Weru,Ol Jorok,Weru,Yes
160,Planet Earth Vet,0731111562,-0.1540,36.3370,Weru,Ol Jorok,Weru,Yes
161,Charagita Agrovet,0732111000,-0.2000,36.3200,Charagita,Ol Jorok,Charagita,Yes
162,Charagita Farmers,0732111001,-0.2020,36.3220,Charagita,Ol Jorok,Charagita,Yes
163,Valley Vet Charagita,0732111002,-0.1980,36.3180,Charagita,Ol Jorok,Charagita,Yes
164,Harvest Charagita,0732111003,-0.2050,36.3250,Charagita,Ol Jorok,Charagita,Yes
165,Shamba Charagita,0732111004,-0.1990,36.3190,Charagita,Ol Jorok,Charagita,Yes
166,Charagita Dairy,0732111005,-0.2010,36.3210,Charagita,Ol Jorok,Charagita,Yes
167,Charagita Top Yield,0732111006,-0.2010,36.3230,Charagita,Ol Jorok,Charagita,Yes
168,Valley Farmers Agro,0732111007,-0.2030,36.3240,Charagita,Ol Jorok,Charagita,Yes
169,Destiny Gatundia,0733111777,-0.0300,36.4100,Leshau/P.,Ndaragwa,Gatundia,Yes
170,Leshau Agrovet,0733111778,-0.0320,36.4020,Leshau/P.,Ndaragwa,Leshau,Yes
171,Pondo Vet Care,0733111779,-0.0280,36.3980,Leshau/P.,Ndaragwa,Pondo,Yes
172,Gatundia Inputs,0733111780,-0.0350,36.4050,Leshau/P.,Ndaragwa,Gatundia,Yes
173,Leshau Pondo Vet,0733111781,-0.0310,36.4010,Leshau/P.,Ndaragwa,Leshau,Yes
174,Border Leshau Agro,0733111782,-0.0330,36.4030,Leshau/P.,Ndaragwa,Leshau,Yes
175,Gatundia Best Inputs,0733111783,-0.0310,36.4120,Leshau/P.,Ndaragwa,Gatundia,Yes
176,Leshau Pride Vet,0733111784,-0.0340,36.4040,Leshau/P.,Ndaragwa,Leshau,Yes
177,Kiriita Agrovet,0734111222,0.0500,36.5000,Kiriita,Ndaragwa,Kiriita,Yes
178,Kiriita Farmers,0734111223,0.0480,36.4980,Kiriita,Ndaragwa,Kiriita,Yes
179,Savannah Vet Kiriita,0734111224,0.0550,36.5050,Kiriita,Ndaragwa,Kiriita,Yes
180,Northern Kiriita,0734111225,0.0520,36.5020,Kiriita,Ndaragwa,Kiriita,Yes
181,Plateau Kiriita,0734111226,0.0490,36.4990,Kiriita,Ndaragwa,Kiriita,Yes
182,Gwa-Kungu Kiriita,0734111227,0.0510,36.5010,Kiriita,Ndaragwa,Kiriita,Yes
183,Kiriita Farm Link,0734111228,0.0510,36.5020,Kiriita,Ndaragwa,Kiriita,Yes
184,Savannah Northern Vet,0734111229,0.0530,36.5040,Kiriita,Ndaragwa,Kiriita,Yes
185,Pesi Agrovet,0735111333,-0.0100,36.5500,Central,Ndaragwa,Pesi,Yes
186,Ndaragwa Town Vet,0735111334,-0.0120,36.5520,Central,Ndaragwa,Ndaragwa,Yes
187,Gwa-Kung'u Agro,0735111335,-0.0050,36.5400,Central,Ndaragwa,Gwa-Kung'u,Yes
188,Central Ndaragwa,0735111336,-0.0150,36.5550,Central,Ndaragwa,Ndaragwa,Yes
189,Ndaragwa Shamba,0735111337,-0.0110,36.5510,Central,Ndaragwa,Ndaragwa,Yes
190,Pesi Valley Vet,0735111338,-0.0090,36.5490,Central,Ndaragwa,Pesi,Yes
191,Pesi Best Agro,0735111339,-0.0110,36.5510,Central,Ndaragwa,Pesi,Yes
192,Ndaragwa Town Link,0735111340,-0.0140,36.5530,Central,Ndaragwa,Ndaragwa,Yes
193,Shamata Agrovet,0736111444,-0.0667,36.5167,Shamata,Ndaragwa,Shamata,Yes
194,Shamata Vet Clinic,0736111445,-0.0650,36.5150,Shamata,Ndaragwa,Shamata,Yes
195,Aberdare Heights,0736111446,-0.0680,36.5180,Shamata,Ndaragwa,Shamata,Yes
196,High Altitude Agro,0736111447,-0.0700,36.5200,Shamata,Ndaragwa,Shamata,Yes
197,Shamata Central,0736111448,-0.0670,36.5170,Shamata,Ndaragwa,Shamata,Yes
198,Mountain Shamata,0736111449,-0.0690,36.5190,Shamata,Ndaragwa,Shamata,Yes
199,Shamata Top Inputs,0736111450,-0.0660,36.5160,Shamata,Ndaragwa,Shamata,Yes
200,Mountain Heights Vet,0736111451,-0.0680,36.5180,Shamata,Ndaragwa,Shamata,Yes
